OP;MARCA;ARTICULO;DESCRIPCION;RUBRO;STOCK_TXT;PVC;IVA;II;MKUP;PVL;OFF_PVC;OFF_PVL;IMAGEN_URL_1;IMAGEN_URL_2;IMAGEN_URL_3;IMAGEN_URL_4;IMAGEN_URL_5;NUEVO_INGRESO;CONDICION
5596;SEETRONIC;ST109;Conector | Mini XLR | 3 pines | (macho para chasis);Cables y Mangueras de Sonido;>10;2585.58;0.21;0;0.45;4536.399;0.1;0.1;https://todomusica.com.ar/7970-large_default/img.jpg;https://todomusica.com.ar/7970-large_default/img.jpg;;;;;OFERTA
5596;SEETRONIC;ST201;"Conector |Plug  1/4"" |mono | Metalico |p/cable 4-6mm | c: Niquel";Cables y Mangueras de Sonido;>10;1809.91;0.21;0;0.45;3175.488;0.1;0.1;https://todomusica.com.ar/7971-large_default/img.jpg;https://todomusica.com.ar/7971-large_default/img.jpg;;;;;INGRESANDO|OFERTA|MAS_VENDIDO
5596;SEETRONIC;ST202;"Conector | Plug  1/4""| Stereo | Metalico | p/Cable 4-6mm | c: Niquel";Cables y Mangueras de Sonido;>10;2135.69;0.21;0;0.45;3747.068;0.1;0.1;https://todomusica.com.ar/7972-large_default/img.jpg;https://todomusica.com.ar/7972-large_default/img.jpg;;;;;INGRESANDO|OFERTA|MAS_VENDIDO
5596;SEETRONIC;ST213;Jack | mono | 1/4 | stereo | plastico | para plaqueta;Cables y Mangueras de Sonido;<10;701.8;0.21;0;0.45;1231.308;0.1;0.1;https://todomusica.com.ar/7973-large_default/img.jpg;https://todomusica.com.ar/7973-large_default/img.jpg;;;;;OFERTA
5596;SEETRONIC;ST229L;Jack | Mono   | 1/4¨ | Metalico abierto para chasis de instr.;Cables y Mangueras de Sonido;>10;3076.85;0.21;0;0.45;5398.33;0.1;0.1;https://todomusica.com.ar/7974-large_default/img.jpg;https://todomusica.com.ar/7974-large_default/img.jpg;;;;;INGRESANDO|OFERTA
5596;SEETRONIC;ST230;Jack | Stereo | 1/4¨ | Metalico abierto para chasis de instr.;Cables y Mangueras de Sonido;>10;2461.48;0.21;0;0.45;4318.672;0.1;0.1;https://todomusica.com.ar/7975-large_default/img.jpg;https://todomusica.com.ar/7975-large_default/img.jpg;;;;;INGRESANDO|OFERTA
5596;SEETRONIC;ST231L;Conector | Mini plug 3.5mm | Stereo | Metalico | p/cable 2-6mm | c: Niquel;Cables y Mangueras de Sonido;>10;2194.05;0.21;0;0.45;3849.458;0.1;0.1;https://todomusica.com.ar/16335-large_default/img.jpg, https://todomusica.com.ar/23873-large_default/img.jpg, https://todomusica.com.ar/23874-large_default/img.jpg;https://todomusica.com.ar/16335-large_default/img.jpg;https://todomusica.com.ar/23873-large_default/img.jpg;https://todomusica.com.ar/23874-large_default/img.jpg;;;INGRESANDO|OFERTA
5596;SEETRONIC;ST231L-BG;Conector | Mini plug 3.5mm| Stereo | Metalico Dorado| p/cable 2-6mm | c: Negro;Cables y Mangueras de Sonido;>10;2425.28;0.21;0;0.45;4255.159;0.1;0.1;https://todomusica.com.ar/16337-large_default/img.jpg, https://todomusica.com.ar/23875-large_default/img.jpg;https://todomusica.com.ar/16337-large_default/img.jpg;https://todomusica.com.ar/23875-large_default/img.jpg;;;;INGRESANDO|OFERTA
5596;SEETRONIC;ST352;Conector | RCA | Macho |Metalico | p/cable 3.5-6.5MM |c:Cromado;Cables y Mangueras de Sonido;>10;1846.85;0.21;0;0.45;3240.295;0.1;0.1;https://todomusica.com.ar/7976-large_default/img.jpg;https://todomusica.com.ar/7976-large_default/img.jpg;;;;;OFERTA|MAS_VENDIDO
5495;CERVINI;HC-100;Cello | Estudio |  4/4 | Tapa de Abeto  | Cuerpo de Maple | Diap. De Ebano | Pue;Violines y Cellos;>10;524001.44;0.21;0;0.45;919360.529;0;0;https://todomusica.com.ar/19278-large_default/img.jpg, https://todomusica.com.ar/19279-large_default/img.jpg, https://todomusica.com.ar/26691-large_default/img.jpg, https://todomusica.com.ar/26692-large_default/img.jpg;https://todomusica.com.ar/19278-large_default/img.jpg;https://todomusica.com.ar/19279-large_default/img.jpg;https://todomusica.com.ar/26691-large_default/img.jpg;https://todomusica.com.ar/26692-large_default/img.jpg;;INGRESANDO|MAS_VENDIDO
5495;CERVINI;"HVA-150 16""";"Viola | Estudio | 16"" | Tapa de Abeto | Cuerpo de Maple | Arco Clasico | Puente Maple | Mentonera de Madera | c/Estuche Semi rigido | Natural";Violines y Cellos;>10;223174.19;0.21;0;0.45;391559.122;0;0;https://todomusica.com.ar/19280-large_default/img.jpg, https://todomusica.com.ar/19281-large_default/img.jpg, https://todomusica.com.ar/19282-large_default/img.jpg;https://todomusica.com.ar/19280-large_default/img.jpg;https://todomusica.com.ar/19281-large_default/img.jpg;https://todomusica.com.ar/19282-large_default/img.jpg;;;INGRESANDO
5495;CERVINI;HV-100BK;Violin | Estudio | 4/4 | Tapa de Abeto | Cuerpo de Maple | Arco Clasico | Puent;Violines y Cellos;>10;132616.57;0.21;0;0.45;232675.776;0;0;https://todomusica.com.ar/17953-large_default/img.jpg, https://todomusica.com.ar/17954-large_default/img.jpg, https://todomusica.com.ar/17955-large_default/img.jpg, https://todomusica.com.ar/17957-large_default/img.jpg, https://todomusica.com.ar/17958-large_default/img.jpg;https://todomusica.com.ar/17953-large_default/img.jpg;https://todomusica.com.ar/17954-large_default/img.jpg;https://todomusica.com.ar/17955-large_default/img.jpg;https://todomusica.com.ar/17957-large_default/img.jpg;;INGRESANDO
5495;CERVINI;HV-50;Violin | Estudio | 4/4 | Tapa de Abeto  | Cuerpo de Maple | Arco Clasico | Puente Mapl;Violines y Cellos;>10;111649.52;0.21;0;0.45;195889.078;0;0;https://todomusica.com.ar/19283-large_default/img.jpg;https://todomusica.com.ar/19283-large_default/img.jpg;;;;;INGRESANDO|MAS_VENDIDO
5495;CERVINI;HV-50 3/4;Violin | Estudio | 3/4 | Tapa de Abeto  | Cuerpo de Maple | Arco Clasico | Puente M;Violines y Cellos;>10;111649.52;0.21;0;0.45;195889.078;0;0;https://todomusica.com.ar/24612-large_default/img.jpg;https://todomusica.com.ar/24612-large_default/img.jpg;;;;;INGRESANDO|MAS_VENDIDO
5495;CREMONA;AB-100;Arco | p/ Violin 4/4 | Estudio |  A. Breton  | Madera Rosewood;Violines y Cellos;>10;19987.46;0.21;0;0.45;35068.002;0;0;https://todomusica.com.ar/26693-large_default/img.jpg, https://todomusica.com.ar/26694-large_default/img.jpg;https://todomusica.com.ar/26693-large_default/img.jpg;https://todomusica.com.ar/26694-large_default/img.jpg;;;;INGRESANDO
5495;CREMONA;AB-116F;Arco | p/ Violin | Estudio |  A. Breton  | 4/4 | Fibra de vidrio de carbono;Violines y Cellos;>10;59231.91;0.21;0;0.45;103922.387;0;0;https://todomusica.com.ar/30174-large_default/img.jpg, https://todomusica.com.ar/30175-large_default/img.jpg, https://todomusica.com.ar/30176-large_default/img.jpg;https://todomusica.com.ar/30174-large_default/img.jpg;https://todomusica.com.ar/30175-large_default/img.jpg;https://todomusica.com.ar/30176-large_default/img.jpg;;;INGRESANDO
